"type","priority","canonical_key","duplicate_keys","zh_value_or_mapping","en_value_mapping","note"
"normalized_en_collision","high","Please select a subscription plan","Select Subscription Plan","Please select a subscription plan => 请选择订阅套餐 | Select Subscription Plan => 选择订阅套餐","Please select a subscription plan => Please select a subscription plan | Select Subscription Plan => Select Subscription Plan","英文归一化接近: select subscription plan"
"normalized_en_collision","high","this token group","Token group","this token group => 此令牌分组 | Token group => 令牌分组","this token group => this token group | Token group => Token group","英文归一化接近: token group"
"normalized_en_collision","high","this user group","User Group","this user group => 此用户分组 | User Group => 用户分组","this user group => this user group | User Group => User Group","英文归一化接近: user group"
"normalized_en_collision","medium","Cycle quota","Cycle Quota ({{currency}})","Cycle quota => 周期额度 | Cycle Quota ({{currency}}) => 周期额度 ({{currency}})","Cycle quota => Cycle quota | Cycle Quota ({{currency}}) => Cycle Quota ({{currency}})","英文归一化接近: cycle quota"
"normalized_en_collision","medium","Enter URL...","Please enter the URL","Enter URL... => 输入 URL... | Please enter the URL => 请输入 URL","Enter URL... => Enter URL... | Please enter the URL => Please enter the URL","英文归一化接近: enter url"
"normalized_en_collision","medium","Invalid chat link. Please contact the administrator.","Invalid chat link. Please contact your administrator.","Invalid chat link. Please contact the administrator. => 无效的聊天链接。请联系管理员。 | Invalid chat link. Please contact your administrator. => 无效的聊天链接。请联系您的管理员。","Invalid chat link. Please contact the administrator. => Invalid chat link. Please contact the administrator. | Invalid chat link. Please contact your administrator. => Invalid chat link. Please contact your administrator.","英文归一化接近: invalid chat link contact administrator"
"normalized_en_collision","medium","Remaining quota","Remaining Quota ({{currency}})","Remaining quota => 剩余配额 | Remaining Quota ({{currency}}) => 剩余额度 ({{currency}})","Remaining quota => Remaining quota | Remaining Quota ({{currency}}) => Remaining Quota ({{currency}})","英文归一化接近: remaining quota"
"normalized_en_collision","medium","Select Model","Select model {{model}}","Select Model => 选择模型 | Select model {{model}} => 选择模型 {{model}}","Select Model => Select Model | Select model {{model}} => Select model {{model}}","英文归一化接近: select model"
"normalized_en_collision","medium","Window quota","Window Quota ({{currency}})","Window quota => 时段额度 | Window Quota ({{currency}}) => 时段额度 ({{currency}})","Window quota => Window quota | Window Quota ({{currency}}) => Window Quota ({{currency}})","英文归一化接近: window quota"
"normalized_en_collision","low","? This action cannot be undone.",". This action cannot be undone. | This action cannot be undone.","? This action cannot be undone. => ？此操作无法撤销。 | . This action cannot be undone. => 。此操作无法撤销。 | This action cannot be undone. => 此操作无法撤消。","? This action cannot be undone. => ? This action cannot be undone. | . This action cannot be undone. => . This action cannot be undone. | This action cannot be undone. => This action cannot be undone.","英文归一化接近: action cannot be undone"
"normalized_en_collision","low","Actual Model","Actual Model:","Actual Model => 实际模型 | Actual Model: => 实际模型：","Actual Model => Actual Model | Actual Model: => Actual Model:","英文归一化接近: actual model"
"normalized_en_collision","low","API key","API Key | API Key *","API key => API 密钥 | API Key => API 密钥 | API Key * => API 密钥 *","API key => API key | API Key => API Key | API Key * => API Key *","英文归一化接近: api key"
"normalized_en_collision","low","Default / range","Default range","Default / range => 默认值 / 范围 | Default range => 默认范围","Default / range => Default / range | Default range => Default range","英文归一化接近: default range"
"normalized_en_collision","low","Delete invalid redemption codes","Delete Invalid Redemption Codes?","Delete invalid redemption codes => 删除无效兑换码 | Delete Invalid Redemption Codes? => 删除无效的兑换码？","Delete invalid redemption codes => Delete invalid redemption codes | Delete Invalid Redemption Codes? => Delete Invalid Redemption Codes?","英文归一化接近: delete invalid redemption codes"
"normalized_en_collision","low","Discount Rate","Discount Rate:","Discount Rate => 折扣率 | Discount Rate: => 折扣率：","Discount Rate => Discount Rate | Discount Rate: => Discount Rate:","英文归一化接近: discount rate"
"normalized_en_collision","low","Edit Tag","Edit Tag:","Edit Tag => 编辑标签 | Edit Tag: => 编辑标签：","Edit Tag => Edit Tag | Edit Tag: => Edit Tag:","英文归一化接近: edit tag"
"normalized_en_collision","low","Forgot password","Forgot password?","Forgot password => 忘记密码 | Forgot password? => 忘记密码？","Forgot password => Forgot password | Forgot password? => Forgot password?","英文归一化接近: forgot password"
"normalized_en_collision","low","Invalid reset link, please request a new password reset","Invalid reset link, please request a new password reset.","Invalid reset link, please request a new password reset => 无效的重置链接，请请求新的密码重置 | Invalid reset link, please request a new password reset. => 无效的重置链接，请请求新的密码重置。","Invalid reset link, please request a new password reset => Invalid reset link, please request a new password reset | Invalid reset link, please request a new password reset. => Invalid reset link, please request a new password reset.","英文归一化接近: invalid reset link request new password reset"
"normalized_en_collision","low","Last Used","Last used:","Last Used => 最后使用时间 | Last used: => 上次使用时间：","Last Used => Last Used | Last used: => Last used:","英文归一化接近: last used"
"normalized_en_collision","low","Learn more","Learn more:","Learn more => 了解更多 | Learn more: => 了解更多：","Learn more => Learn more | Learn more: => Learn more:","英文归一化接近: learn more"
"normalized_en_collision","low","Min Top-up","Min Top-up:","Min Top-up => 最低充值 | Min Top-up: => 最低充值：","Min Top-up => Min Top-up | Min Top-up: => Min Top-up:","英文归一化接近: min top up"
"normalized_en_collision","low","Model Name","Model Name *","Model Name => 模型名称 | Model Name * => 模型名称 *","Model Name => Model Name | Model Name * => Model Name *","英文归一化接近: model name"
"normalized_en_collision","low","No data","No Data","No data => 暂无数据 | No Data => 无数据","No data => No data | No Data => No Data","英文归一化接近: no data"
"normalized_en_collision","low","No Models Found","No models found.","No Models Found => 未找到模型 | No models found. => 未找到模型。","No Models Found => No Models Found | No models found. => No models found.","英文归一化接近: no models found"
"normalized_en_collision","low","Open source","Open Source","Open source => 开源 | Open Source => 开源项目","Open source => Open source | Open Source => Open Source","英文归一化接近: open source"
"normalized_en_collision","low","Passkey is not supported on this device","Passkey is not supported on this device.","Passkey is not supported on this device => 此设备不支持 Passkey | Passkey is not supported on this device. => 此设备不支持通行密钥。","Passkey is not supported on this device => Passkey is not supported on this device | Passkey is not supported on this device. => Passkey is not supported on this device.","英文归一化接近: passkey is not supported on device"
"normalized_en_collision","low","Permanent quota","Permanent Quota","Permanent quota => 永久额度 | Permanent Quota => 永久限额","Permanent quota => Permanent quota | Permanent Quota => Permanent Quota","英文归一化接近: permanent quota"
"normalized_en_collision","low","Redemption Codes","redemption codes.","Redemption Codes => 兑换码 | redemption codes. => 兑换码。","Redemption Codes => Redemption Codes | redemption codes. => redemption codes.","英文归一化接近: redemption codes"
"normalized_en_collision","low","Remove Passkey","Remove Passkey?","Remove Passkey => 解绑 Passkey | Remove Passkey? => 移除通行密钥？","Remove Passkey => Remove Passkey | Remove Passkey? => Remove Passkey?","英文归一化接近: remove passkey"
"normalized_en_collision","low","Request Model","Request Model:","Request Model => 请求模型 | Request Model: => 请求模型：","Request Model => Request Model | Request Model: => Request Model:","英文归一化接近: request model"
"normalized_en_collision","low","Search models","Search models...","Search models => 搜索模型 | Search models... => 搜索模型...","Search models => Search models | Search models... => Search models...","英文归一化接近: search models"
"normalized_en_collision","low","Session expired!","Session expired?","Session expired! => 会话已过期！ | Session expired? => 会话已过期？","Session expired! => Session expired! | Session expired? => Session expired?","英文归一化接近: session expired"
"normalized_en_collision","low","Task ID","Task ID:","Task ID => 任务 ID | Task ID: => 任务 ID：","Task ID => Task ID | Task ID: => Task ID:","英文归一化接近: task id"
"normalized_en_collision","low","Total cost","Total Cost","Total cost => 总成本 | Total Cost => 总费用","Total cost => Total cost | Total Cost => Total Cost","英文归一化接近: total cost"
"normalized_en_collision","low","Total earned","Total Earned","Total earned => 累计获得 | Total Earned => 总收入","Total earned => Total earned | Total Earned => Total Earned","英文归一化接近: total earned"
"normalized_en_collision","low","Total tokens","Total Tokens","Total tokens => 总 Token | Total Tokens => 总 Token 数","Total tokens => Total tokens | Total Tokens => Total Tokens","英文归一化接近: total tokens"
"normalized_en_collision","low","Two-factor Authentication","Two-Factor Authentication","Two-factor Authentication => 双重身份验证 | Two-Factor Authentication => 两步验证","Two-factor Authentication => Two-factor Authentication | Two-Factor Authentication => Two-Factor Authentication","英文归一化接近: two factor authentication"
"normalized_en_collision","low","Used quota","Used Quota","Used quota => 已用额度 | Used Quota => 消耗额度","Used quota => Used quota | Used Quota => Used Quota","英文归一化接近: used quota"
"normalized_en_collision","low","User ID","User ID:","User ID => 用户 ID | User ID: => 用户 ID：","User ID => User ID | User ID: => User ID:","英文归一化接近: user id"
"same_zh_value","high","Channel deleted successfully","Channels deleted successfully","Channel deleted successfully => 渠道删除成功 | Channels deleted successfully => 渠道删除成功","Channel deleted successfully => Channel deleted successfully | Channels deleted successfully => Channels deleted successfully","中文完全相同，需确认上下文是否可复用同一 key"
"same_zh_value","high","Copy a request header","Copy Header | Copy Request Header","Copy a request header => 复制请求头 | Copy Header => 复制请求头 | Copy Request Header => 复制请求头","Copy a request header => Copy a request header | Copy Header => Copy Header | Copy Request Header => Copy Request Header","中文完全相同，需确认上下文是否可复用同一 key"
"same_zh_value","high","Copy failed","Failed to copy","Copy failed => 复制失败 | Failed to copy => 复制失败","Copy failed => Copy failed | Failed to copy => Failed to copy","中文完全相同，需确认上下文是否可复用同一 key"
"same_zh_value","high","Copy Key","Copy secret key","Copy Key => 复制密钥 | Copy secret key => 复制密钥","Copy Key => Copy Key | Copy secret key => Copy secret key","中文完全相同，需确认上下文是否可复用同一 key"
"same_zh_value","high","Created","Created At","Created => 创建时间 | Created At => 创建时间","Created => Created | Created At => Created At","中文完全相同，需确认上下文是否可复用同一 key"
"same_zh_value","high","Delete Model","Remove Models","Delete Model => 删除模型 | Remove Models => 删除模型","Delete Model => Delete Model | Remove Models => Remove Models","中文完全相同，需确认上下文是否可复用同一 key"
"same_zh_value","high","Enter model name","Please enter model name","Enter model name => 请输入模型名称 | Please enter model name => 请输入模型名称","Enter model name => Enter model name | Please enter model name => Please enter model name","中文完全相同，需确认上下文是否可复用同一 key"
"same_zh_value","high","Enter the verification code","Enter verification code","Enter the verification code => 输入验证码 | Enter verification code => 输入验证码","Enter the verification code => Enter the verification code | Enter verification code => Enter verification code","中文完全相同，需确认上下文是否可复用同一 key"
"same_zh_value","high","Failed to delete API key","Failed to delete API keys","Failed to delete API key => 删除API密钥失败 | Failed to delete API keys => 删除API密钥失败","Failed to delete API key => Failed to delete API key | Failed to delete API keys => Failed to delete API keys","中文完全相同，需确认上下文是否可复用同一 key"
"same_zh_value","high","Failed to load","Loading failed","Failed to load => 加载失败 | Loading failed => 加载失败","Failed to load => Failed to load | Loading failed => Loading failed","中文完全相同，需确认上下文是否可复用同一 key"
"same_zh_value","high","Failed to save","Save failed","Failed to save => 保存失败 | Save failed => 保存失败","Failed to save => Failed to save | Save failed => Save failed","中文完全相同，需确认上下文是否可复用同一 key"
"same_zh_value","high","Model Price","Model prices","Model Price => 模型价格 | Model prices => 模型价格","Model Price => Model Price | Model prices => Model prices","中文完全相同，需确认上下文是否可复用同一 key"
"same_zh_value","high","Model updated successfully","Models updated successfully","Model updated successfully => 模型更新成功 | Models updated successfully => 模型更新成功","Model updated successfully => Model updated successfully | Models updated successfully => Models updated successfully","中文完全相同，需确认上下文是否可复用同一 key"
"same_zh_value","high","Move a request header","Move Header | Move Request Header","Move a request header => 移动请求头 | Move Header => 移动请求头 | Move Request Header => 移动请求头","Move a request header => Move a request header | Move Header => Move Header | Move Request Header => Move Request Header","中文完全相同，需确认上下文是否可复用同一 key"
"same_zh_value","high","No channel selected","No channels selected","No channel selected => 未选择渠道 | No channels selected => 未选择渠道","No channel selected => No channel selected | No channels selected => No channels selected","中文完全相同，需确认上下文是否可复用同一 key"
"same_zh_value","high","No data","No data available","No data => 暂无数据 | No data available => 暂无数据","No data => No data | No data available => No data available","中文完全相同，需确认上下文是否可复用同一 key"
"same_zh_value","high","No messages","No messages yet","No messages => 暂无消息 | No messages yet => 暂无消息","No messages => No messages | No messages yet => No messages yet","中文完全相同，需确认上下文是否可复用同一 key"
"same_zh_value","high","No model found.","No models found.","No model found. => 未找到模型。 | No models found. => 未找到模型。","No model found. => No model found. | No models found. => No models found.","中文完全相同，需确认上下文是否可复用同一 key"
"same_zh_value","high","No restriction","Unlimited","No restriction => 无限制 | Unlimited => 无限制","No restriction => No restriction | Unlimited => Unlimited","中文完全相同，需确认上下文是否可复用同一 key"
"same_zh_value","high","Pick a date","Select date","Pick a date => 选择日期 | Select date => 选择日期","Pick a date => Pick a date | Select date => Select date","中文完全相同，需确认上下文是否可复用同一 key"
"same_zh_value","high","Reset 2FA","Reset Two-Factor Authentication","Reset 2FA => 重置 2FA | Reset Two-Factor Authentication => 重置 2FA","Reset 2FA => Reset 2FA | Reset Two-Factor Authentication => Reset Two-Factor Authentication","中文完全相同，需确认上下文是否可复用同一 key"
"same_zh_value","high","Reset Cycle","Reset Period","Reset Cycle => 重置周期 | Reset Period => 重置周期","Reset Cycle => Reset Cycle | Reset Period => Reset Period","中文完全相同，需确认上下文是否可复用同一 key"
"same_zh_value","high","Token Management","Token Mgmt","Token Management => 令牌管理 | Token Mgmt => 令牌管理","Token Management => Token Management | Token Mgmt => Token Mgmt","中文完全相同，需确认上下文是否可复用同一 key"
"same_zh_value","high","Update succeeded","Updated successfully","Update succeeded => 更新成功 | Updated successfully => 更新成功","Update succeeded => Update succeeded | Updated successfully => Updated successfully","中文完全相同，需确认上下文是否可复用同一 key"
"same_zh_value","high","Updated","Updated at","Updated => 更新时间 | Updated at => 更新时间","Updated => Updated | Updated at => Updated at","中文完全相同，需确认上下文是否可复用同一 key"
"same_zh_value","medium","{{count}} model(s)","{{count}} models","{{count}} model(s) => {{count}} 个模型 | {{count}} models => {{count}} 个模型","{{count}} model(s) => {{count}} model(s) | {{count}} models => {{count}} models","中文完全相同，需确认上下文是否可复用同一 key"
"same_zh_value","medium","1 Month","1M","1 Month => 1 个月 | 1M => 1 个月","1 Month => 1M | 1M => 1M","中文完全相同，需确认上下文是否可复用同一 key"
"same_zh_value","medium","Active","Enabled | Has been enabled","Active => 已启用 | Enabled => 已启用 | Has been enabled => 已启用","Active => Active | Enabled => Enabled | Has been enabled => Enabled successfully","中文完全相同，需确认上下文是否可复用同一 key"
"same_zh_value","medium","Additional Limit","Additional Limits","Additional Limit => 附加额度 | Additional Limits => 附加额度","Additional Limit => Additional Limit | Additional Limits => Additional Limits","中文完全相同，需确认上下文是否可复用同一 key"
"same_zh_value","medium","API Addresses","Base URL","API Addresses => API 地址 | Base URL => API 地址","API Addresses => API Addresses | Base URL => Base URL","中文完全相同，需确认上下文是否可复用同一 key"
"same_zh_value","medium","API key","API Key | API Keys","API key => API 密钥 | API Key => API 密钥 | API Keys => API 密钥","API key => API key | API Key => API Key | API Keys => API Keys","中文完全相同，需确认上下文是否可复用同一 key"
"same_zh_value","medium","API key is required","Needs API key","API key is required => 需要 API 密钥 | Needs API key => 需要 API 密钥","API key is required => API key is required | Needs API key => Needs API key","中文完全相同，需确认上下文是否可复用同一 key"
"same_zh_value","medium","Audio In","Audio Input","Audio In => 音频输入 | Audio Input => 音频输入","Audio In => Audio In | Audio Input => Audio Input","中文完全相同，需确认上下文是否可复用同一 key"
"same_zh_value","medium","Audio Out","Audio Output","Audio Out => 音频输出 | Audio Output => 音频输出","Audio Out => Audio Out | Audio Output => Audio Output","中文完全相同，需确认上下文是否可复用同一 key"
"same_zh_value","medium","auth.resetPasswordConfirm.backToLogin","Back To Login","auth.resetPasswordConfirm.backToLogin => 返回登录 | Back To Login => 返回登录","auth.resetPasswordConfirm.backToLogin => Return to login | Back To Login => Back To Login","中文完全相同，需确认上下文是否可复用同一 key"
"same_zh_value","medium","Back","Go Back","Back => 返回 | Go Back => 返回","Back => Back | Go Back => Go Back","中文完全相同，需确认上下文是否可复用同一 key"
"same_zh_value","medium","Back to Home","Go To Home","Back to Home => 返回主页 | Go To Home => 返回主页","Back to Home => Back to Home | Go To Home => Go To Home","中文完全相同，需确认上下文是否可复用同一 key"
"same_zh_value","medium","Basic Info","Basic Information","Basic Info => 基本信息 | Basic Information => 基本信息","Basic Info => Basic Info | Basic Information => Basic Information","中文完全相同，需确认上下文是否可复用同一 key"
"same_zh_value","medium","Daily","Every day","Daily => 每天 | Every day => 每天","Daily => Daily | Every day => Every day","中文完全相同，需确认上下文是否可复用同一 key"
"same_zh_value","medium","Date Range","Period | Time Range","Date Range => 时间范围 | Period => 时间范围 | Time Range => 时间范围","Date Range => Date Range | Period => Period | Time Range => Time Range","中文完全相同，需确认上下文是否可复用同一 key"
"same_zh_value","medium","disabled","Disabled | Has been disabled | Inactive","disabled => 已禁用 | Disabled => 已禁用 | Has been disabled => 已禁用 | Inactive => 已禁用","disabled => disabled | Disabled => Disabled | Has been disabled => Disabled successfully | Inactive => Inactive","中文完全相同，需确认上下文是否可复用同一 key"
"same_zh_value","medium","Endpoint config","Endpoint Configuration","Endpoint config => 端点配置 | Endpoint Configuration => 端点配置","Endpoint config => Endpoint config | Endpoint Configuration => Endpoint Configuration","中文完全相同，需确认上下文是否可复用同一 key"
"same_zh_value","medium","Expiration Time","Expires at","Expiration Time => 过期时间 | Expires at => 过期时间","Expiration Time => Expiration Time | Expires at => Expires at","中文完全相同，需确认上下文是否可复用同一 key"
"same_zh_value","medium","h","Hour | hours | Hours","h => 小时 | Hour => 小时 | hours => 小时 | Hours => 小时","h => h | Hour => Hour | hours => hours | Hours => Hours","中文完全相同，需确认上下文是否可复用同一 key"
"same_zh_value","medium","Has been invalidated","Invalidated","Has been invalidated => 已作废 | Invalidated => 已作废","Has been invalidated => Invalidated successfully | Invalidated => Invalidated","中文完全相同，需确认上下文是否可复用同一 key"
"same_zh_value","medium","In Progress","Ongoing","In Progress => 进行中 | Ongoing => 进行中","In Progress => In Progress | Ongoing => Ongoing","中文完全相同，需确认上下文是否可复用同一 key"
"same_zh_value","medium","Key","Secret Key","Key => 密钥 | Secret Key => 密钥","Key => Key | Secret Key => Secret Key","中文完全相同，需确认上下文是否可复用同一 key"
"same_zh_value","medium","Max Requests (incl. failures)","Max Requests (including failures)","Max Requests (incl. failures) => 最大请求数（包括失败） | Max Requests (including failures) => 最大请求数（包括失败）","Max Requests (incl. failures) => Max Requests (incl. failures) | Max Requests (including failures) => Max Requests (including failures)","中文完全相同，需确认上下文是否可复用同一 key"
"same_zh_value","medium","Multimodal File","Multimodal Files","Multimodal File => 多模态文件 | Multimodal Files => 多模态文件","Multimodal File => Multimodal File | Multimodal Files => Multimodal Files","中文完全相同，需确认上下文是否可复用同一 key"
"same_zh_value","medium","Param Override","Parameter Override","Param Override => 参数覆盖 | Parameter Override => 参数覆盖","Param Override => Param Override | Parameter Override => Parameter Override","中文完全相同，需确认上下文是否可复用同一 key"
"same_zh_value","medium","Passkey is not supported on this device","This device does not support Passkey","Passkey is not supported on this device => 此设备不支持 Passkey | This device does not support Passkey => 此设备不支持 Passkey","Passkey is not supported on this device => Passkey is not supported on this device | This device does not support Passkey => This device does not support Passkey","中文完全相同，需确认上下文是否可复用同一 key"
"same_zh_value","medium","Payment Method","Payment Methods","Payment Method => 付款方式 | Payment Methods => 付款方式","Payment Method => Payment Method | Payment Methods => Payment Methods","中文完全相同，需确认上下文是否可复用同一 key"
"same_zh_value","medium","Personal Area","Personal Center Area","Personal Area => 个人中心区域 | Personal Center Area => 个人中心区域","Personal Area => Personal Area | Personal Center Area => Personal Center Area","中文完全相同，需确认上下文是否可复用同一 key"
"same_zh_value","medium","Recharge","Top-up","Recharge => 充值 | Top-up => 充值","Recharge => Recharge | Top-up => Top-up","中文完全相同，需确认上下文是否可复用同一 key"
"same_zh_value","medium","Recharge Amount","Topup Amount","Recharge Amount => 充值金额 | Topup Amount => 充值金额","Recharge Amount => Recharge Amount | Topup Amount => Topup Amount","中文完全相同，需确认上下文是否可复用同一 key"
"same_zh_value","medium","Redeem codes","redemption code | Redemption Codes","Redeem codes => 兑换码 | redemption code => 兑换码 | Redemption Codes => 兑换码","Redeem codes => Redeem codes | redemption code => redemption code | Redemption Codes => Redemption Codes","中文完全相同，需确认上下文是否可复用同一 key"
"same_zh_value","medium","Request Header Override","Request Header Overrides","Request Header Override => 请求头覆盖 | Request Header Overrides => 请求头覆盖","Request Header Override => Request Header Override | Request Header Overrides => Request Header Overrides","中文完全相同，需确认上下文是否可复用同一 key"
"same_zh_value","medium","Security Check","Security Verification","Security Check => 安全验证 | Security Verification => 安全验证","Security Check => Security Check | Security Verification => Security Verification","中文完全相同，需确认上下文是否可复用同一 key"
"same_zh_value","medium","Setting updated successfully","Settings updated successfully","Setting updated successfully => 设置更新成功 | Settings updated successfully => 设置更新成功","Setting updated successfully => Setting updated successfully | Settings updated successfully => Settings updated successfully","中文完全相同，需确认上下文是否可复用同一 key"
"same_zh_value","medium","Sign In With Passkey","Signed In With Passkey","Sign In With Passkey => 使用 Passkey 登录 | Signed In With Passkey => 使用 Passkey 登录","Sign In With Passkey => Sign In With Passkey | Signed In With Passkey => Signed In With Passkey","中文完全相同，需确认上下文是否可复用同一 key"
"same_zh_value","medium","Sort","Sort Order","Sort => 排序 | Sort Order => 排序","Sort => Sort | Sort Order => Sort Order","中文完全相同，需确认上下文是否可复用同一 key"
"same_zh_value","medium","Status","Status short","Status => 状态 | Status short => 状态","Status => Status | Status short => Status","中文完全相同，需确认上下文是否可复用同一 key"
"same_zh_value","medium","System Announcements","System Notice","System Announcements => 系统公告 | System Notice => 系统公告","System Announcements => System Announcements | System Notice => System Notice","中文完全相同，需确认上下文是否可复用同一 key"
"same_zh_value","medium","To Lower","To Lowercase","To Lower => 转小写 | To Lowercase => 转小写","To Lower => To Lower | To Lowercase => To Lowercase","中文完全相同，需确认上下文是否可复用同一 key"
"same_zh_value","medium","To Upper","To Uppercase","To Upper => 转大写 | To Uppercase => 转大写","To Upper => To Upper | To Uppercase => To Uppercase","中文完全相同，需确认上下文是否可复用同一 key"
"same_zh_value","medium","Two-Factor Authentication","Two-Step Verification","Two-Factor Authentication => 两步验证 | Two-Step Verification => 两步验证","Two-Factor Authentication => Two-Factor Authentication | Two-Step Verification => Two-Step Verification","中文完全相同，需确认上下文是否可复用同一 key"
"same_zh_value","medium","Upload File","Upload Files","Upload File => 上传文件 | Upload Files => 上传文件","Upload File => Upload File | Upload Files => Upload Files","中文完全相同，需确认上下文是否可复用同一 key"
"same_zh_value","medium","Validity","Validity Period","Validity => 有效期 | Validity Period => 有效期","Validity => Validity | Validity Period => Validity Period","中文完全相同，需确认上下文是否可复用同一 key"
